AvgRating,Predictions,Accurate Prediction,BGGId,Name,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
0,0,True,145,Metropolis,0,1,0,1,0,0,0,0
0,0,True,146,Buy Low Sell High,0,1,0,1,0,0,0,0
1,1,True,147,Crude: The Oil Game,0,1,0,0,0,0,0,0
0,0,True,148,Die Glücksritter,0,0,0,0,0,0,0,0
1,1,True,150,PitchCar,0,0,0,1,0,0,1,0
1,1,True,151,Piratenbillard,0,0,0,0,0,0,0,0
1,1,True,152,Mü & More,0,1,0,0,0,0,0,0
0,0,True,153,Take 5!,0,0,0,1,0,0,0,0
1,1,True,154,Union vs. Central,0,1,0,0,0,0,0,0
1,1,True,155,Was sticht?,0,1,0,1,0,0,0,0
1,1,True,156,Wildlife Adventure,0,0,0,1,0,0,0,0
1,1,True,157,Eurorails,0,1,0,0,0,0,0,0
1,1,True,162,The Awful Green Things From Outer Space,1,0,1,0,0,0,0,0
0,1,False,163,Balderdash,0,0,0,0,0,0,1,0
0,0,True,164,"Before I Kill You, Mister Spy...",1,0,0,1,0,0,0,0
0,0,True,165,Black Box,0,0,0,0,0,1,0,0
0,0,True,166,Black Death,0,0,0,0,0,0,0,0
0,0,True,167,Dicke Kartoffeln,0,1,0,0,0,0,0,0
1,1,True,168,Empire Builder,0,1,0,0,0,0,0,0
0,0,True,169,En Garde,0,0,0,1,0,0,0,0
0,0,True,170,Family Business,1,0,0,1,0,0,0,0
1,1,True,171,Chess,0,0,0,0,0,1,0,0
1,1,True,172,For Sale,0,0,0,1,0,0,0,0
1,1,True,173,Formula Dé,0,0,0,0,0,0,0,0
0,0,True,174,T-Rex,0,0,0,0,0,0,0,0
0,0,True,175,What the Heck?,0,0,0,1,0,0,0,0
0,0,True,176,Give Me the Brain!,1,0,0,1,0,0,0,0
0,0,True,178,Mole Hill,0,0,0,0,0,1,0,0
0,1,False,179,Nuba,0,0,0,0,0,1,0,0
0,0,True,180,Pool Position,0,0,0,0,0,1,0,0
0,0,True,181,Risk,0,0,1,1,0,0,0,0
0,0,True,182,Knights of Charlemagne,0,0,0,1,0,0,0,0
0,1,False,183,Stonehenge,0,0,0,0,0,1,0,0
0,0,True,185,Devil Bunny Needs a Ham,0,0,0,1,0,0,0,0
0,0,True,186,Split,0,0,0,0,0,0,0,0
1,1,True,188,Go,0,0,0,0,0,1,0,0
1,1,True,189,Die Siedler von Nürnberg,0,1,0,1,0,0,0,0
0,0,True,190,Dolce Vita,0,0,0,1,0,0,0,0
0,0,True,192,Nicht die Bohne!,0,0,0,1,0,0,0,0
0,0,True,193,Fill or Bust,0,0,0,1,0,0,0,0
0,0,True,194,Groo: The Game,1,0,0,0,0,0,0,0
0,0,True,195,NASCAR Champions,0,0,0,0,0,0,0,0
1,1,True,196,Kremlin,1,1,0,0,0,0,0,0
0,0,True,197,HellRail: Second Perdition,0,0,0,0,0,0,0,0
0,0,True,198,Buried Treasure,0,0,0,1,0,0,0,0
1,1,True,199,Manhattan,0,0,0,1,0,0,0,0
0,0,True,200,Entdecker,0,1,0,1,0,0,0,0
1,1,True,201,The Rose King,0,0,0,0,0,1,0,0
0,0,True,202,Targui,0,1,1,0,0,0,0,0
1,1,True,204,Stephenson's Rocket,0,1,0,0,0,0,0,0
0,0,True,206,Pepper,0,0,0,0,0,0,0,0
0,0,True,207,Twitch,0,0,0,0,0,0,0,0
0,0,True,208,Ex & Hopp,0,0,0,0,0,0,0,0
0,0,True,210,Don Pepe,0,0,0,0,0,0,0,0
0,0,True,211,Times to Remember,0,0,0,0,0,0,0,0
0,0,True,214,Café International,0,0,0,1,0,0,0,0
1,1,True,215,Tichu,0,1,0,0,0,0,0,0
0,0,True,216,Atlanteon,0,0,0,0,0,1,0,0
0,0,True,217,A la carte,0,0,0,1,0,0,0,0
0,0,True,218,High-Bid,0,1,0,1,0,0,0,0
0,0,True,219,Volle Hütte,0,0,0,0,0,0,0,0
1,1,True,220,High Society,0,0,0,1,0,0,0,0
1,1,True,221,Ikusa,1,0,1,0,0,0,0,0
0,0,True,222,Space Beans,0,0,0,1,0,0,0,0
1,1,True,223,Expedition,0,0,0,1,0,0,0,0
1,1,True,224,History of the World,1,1,0,0,0,0,0,0
1,1,True,225,Icehouse,0,0,0,0,0,1,0,0
1,1,True,226,Isi,0,0,0,0,0,1,0,0
0,0,True,228,Lunch Money,1,0,0,0,0,0,0,0
0,0,True,229,King of the Elves,0,0,0,1,0,0,0,0
1,1,True,230,Merchant of Venus,0,1,0,0,0,0,0,0
0,0,True,231,Geronimo,0,0,1,0,0,0,0,0
1,1,True,232,Serenissima,0,1,0,0,0,0,0,0
1,1,True,234,Hannibal: Rome vs. Carthage,0,0,1,0,0,0,0,0
0,0,True,235,Blackbeard,1,0,1,0,0,0,0,0
1,1,True,237,Wooden Ships & Iron Men,0,0,1,0,0,0,0,0
1,1,True,239,"Wagram: The Peace of Vienna, 5-6 July 1809",0,0,1,0,0,0,0,0
1,1,True,240,Britannia,0,0,1,0,0,0,0,0
0,0,True,241,Age of Exploration,1,1,0,0,0,0,0,0
1,1,True,242,Junta,1,1,0,0,0,0,0,0
1,1,True,243,Advanced Squad Leader,0,0,1,0,0,0,0,0
1,1,True,244,Circus Maximus,1,1,0,0,0,0,0,0
0,0,True,246,Politika,0,0,0,0,0,0,0,0
0,0,True,247,Gloria Picktoria,0,0,0,1,0,0,0,0
1,1,True,248,Blood Royale,1,0,0,0,0,0,0,0
1,1,True,249,Lifeboats,0,1,0,1,0,0,0,0
1,1,True,250,Colonial Diplomacy,0,1,1,0,0,0,0,0
1,1,True,252,The Battle of Borodino: Napoleon in Russia 1812,0,0,1,0,0,0,0,0
1,1,True,254,Empires in Arms,0,0,1,0,0,0,0,0
0,0,True,255,Jena-Auerstadt: The Battle for Prussia,0,0,1,0,0,0,0,0
0,0,True,256,Mississippi Queen,0,0,0,1,0,0,0,0
0,0,True,257,Kill Doctor Lucky,0,0,0,1,0,0,0,0
0,0,True,258,Fluxx,0,0,0,1,0,0,1,0
1,1,True,259,Atlantic Storm,0,1,1,0,0,0,0,0
0,0,True,260,Starship Troopers: Prepare For Battle!,0,0,1,0,0,0,0,0
0,0,True,261,Olympia 2000 (v. Chr.),0,0,0,1,0,0,0,0
0,0,True,263,Manitou,0,1,0,1,0,0,0,0
0,0,True,264,Enemy in Sight,0,0,1,0,0,0,0,0
0,0,True,265,Intrigue,0,1,0,0,0,0,0,0
1,1,True,267,Tycoon,0,1,0,0,0,0,0,0
0,0,True,268,Cheops,0,0,0,0,0,0,0,0
0,0,True,270,Svea Rike,1,1,0,0,0,0,0,0
0,0,True,271,It's Mine!,0,0,0,1,0,0,0,0
0,0,True,272,Downtown,0,0,0,0,0,0,0,0
0,0,True,273,Africa 1880,0,0,0,0,0,0,0,0
0,0,True,274,Guerilla,0,0,1,0,0,0,0,0
0,0,True,275,Extinction,0,0,0,0,0,0,0,0
0,1,False,276,La Guerre de l'Empereur,0,0,1,0,0,0,0,0
0,0,True,277,Res Publica,0,1,0,0,0,0,0,0
1,1,True,278,Catan Card Game,0,1,0,0,0,0,0,0
0,0,True,279,The Very Clever Pipe Game,0,0,0,0,0,1,0,0
1,1,True,280,Neue Spiele im alten Rom,0,1,0,1,0,0,0,0
0,0,True,281,Ostindiska Kompaniet,0,0,0,0,0,0,0,0
0,0,True,282,Vikingatid,0,0,1,0,0,0,0,0
1,1,True,283,Advanced Third Reich,0,0,1,0,0,0,0,0
0,0,True,284,Lords of the Sierra Madre (Second Edition),1,1,1,0,0,0,0,0
0,0,True,285,Monsters Ravage America,1,0,0,0,0,0,0,0
1,1,True,286,Machiavelli,0,1,1,0,0,0,0,0
1,1,True,287,Bazaar,0,0,0,1,0,1,0,0
1,1,True,288,Rossyïa 1917,0,0,1,0,0,0,0,0
1,1,True,289,Chariot Lords,0,0,1,0,0,0,0,0
0,0,True,290,Gold Digger,0,0,0,1,0,0,0,0
0,0,True,291,Courtisans of Versailles,0,0,0,0,0,0,0,0
0,0,True,292,Attacke,0,0,0,1,0,0,0,0
0,0,True,293,Bamboleo,0,0,0,1,0,0,1,0
1,1,True,294,Keydom,0,0,0,0,0,0,0,0
0,0,True,295,Europa 1945-2030,0,1,0,0,0,0,0,0
1,1,True,296,Medieval Merchant,0,1,0,0,0,0,0,0
0,0,True,297,Stadens Nyckel,0,0,0,0,0,0,0,0
0,0,True,298,Lang lebe der König!,0,0,1,0,0,0,0,0
1,1,True,299,De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,0,0,1,0,0,0,0,0
0,0,True,300,Tutankhamen,0,0,0,1,0,0,0,0
0,0,True,301,Campanile,0,0,0,1,0,0,0,0
1,1,True,302,Forum Romanum,0,0,0,0,0,1,0,0
0,0,True,303,Koalition,0,1,0,0,0,0,0,0
0,0,True,304,Evergreen,0,0,0,0,0,0,0,0
0,0,True,305,Der Fliegende Holländer,0,1,0,1,0,0,0,0
0,0,True,307,Candidate,1,1,0,0,0,0,0,0
1,1,True,308,Santa Fe,0,1,0,0,0,0,0,0
0,1,False,309,Arabana-Ikibiti,0,0,0,0,0,1,0,0
0,0,True,310,Wizard's Quest,1,0,1,0,0,0,0,0
1,1,True,311,Time Agent,0,1,0,0,0,0,0,0
0,0,True,312,Landlord!,1,1,0,0,0,0,0,0
1,1,True,313,Big Boss,0,1,0,0,0,0,0,0
0,0,True,314,Highlanders,0,0,1,0,0,0,0,0
0,0,True,315,Bagh Chal,0,0,0,0,0,1,0,0
1,1,True,316,Chase,0,0,0,0,0,1,0,0
0,0,True,317,The Mob,0,0,0,0,0,0,0,0
0,0,True,319,Top It,0,0,0,0,0,1,0,0
0,0,True,320,Scrabble,0,0,0,1,0,0,0,0
0,0,True,321,The Mole in the Hole,0,0,0,1,0,0,0,1
0,0,True,322,Tonga Bonga,0,0,0,1,0,0,0,0
0,0,True,323,Anno 1452,0,1,0,0,0,0,0,0
0,0,True,324,Ponte Vecchio,0,0,0,0,0,0,0,0
1,1,True,327,Loopin' Louie,0,0,0,0,0,0,0,1
0,0,True,328,Damn the Torpedoes!,0,0,1,0,0,0,0,0
1,1,True,329,Russian Front,0,0,1,0,0,0,0,0
1,1,True,330,Block Mania,1,0,0,0,0,0,0,0
0,0,True,332,Vernissage,0,0,0,0,0,0,0,0
0,0,True,333,Waterworks,0,0,0,1,0,0,0,0
0,0,True,334,Advance to Boardwalk,0,0,0,1,0,0,0,0
0,0,True,335,Breakthru,0,0,0,0,0,1,0,0
0,0,True,336,Jumpin,0,0,0,0,0,1,0,0
1,1,True,337,Circus Flohcati,0,0,0,1,0,0,0,0
1,1,True,338,Bargain Hunter,0,1,0,1,0,0,0,0
0,0,True,339,Quiddler,0,0,0,1,0,0,0,0
1,1,True,340,Frank's Zoo,0,0,0,1,0,0,0,0
0,0,True,342,Hong Kong,0,0,0,0,0,1,0,0
0,0,True,343,Twins,0,0,0,1,0,0,0,0
1,1,True,344,Members Only,0,0,0,1,0,0,0,0
1,1,True,345,Prairie Railroads,0,0,0,0,0,0,0,0
0,0,True,347,Fishy,0,0,0,0,0,0,0,0
1,1,True,348,Merchants of the Middle Ages,0,1,0,0,0,0,0,0
0,0,True,349,Halunken & Spelunken,0,0,0,1,0,0,0,0
0,1,False,350,Hattrick,0,0,0,1,0,0,0,0
0,0,True,352,Trumpet,0,0,0,0,0,0,0,0
0,0,True,353,Inkognito: The Card Game,0,0,0,1,0,0,0,0
1,1,True,354,Stick 'Em,0,1,0,0,0,0,0,0
0,0,True,355,Das letzte Paradies,0,1,0,0,0,0,0,0
0,0,True,356,Ab die Post!,0,0,0,1,0,0,0,0
0,0,True,357,Excape,0,0,0,1,0,0,0,0
0,0,True,359,Bucket Brigade,0,0,0,1,0,0,0,0
0,0,True,360,Quests of the Round Table,1,0,0,1,0,0,0,0
1,1,True,361,Hare & Tortoise,0,0,0,1,0,0,0,0
0,0,True,362,Elefantenparade,0,0,0,0,0,0,0,0
0,0,True,363,Cat Blues,0,0,0,1,0,0,0,0
0,0,True,364,Samarkand,0,1,0,0,0,0,0,0
0,0,True,365,Tricks,0,0,0,0,0,0,0,0
0,0,True,366,Viva Pamplona!,0,0,0,1,0,0,0,0
0,0,True,367,Overthrone,0,0,0,0,0,0,0,0
0,0,True,368,Relationship Tightrope,0,0,0,1,0,0,0,0
0,0,True,369,5ive Straight,0,0,0,1,0,0,0,0
1,1,True,371,Mystery Rummy: Murders in the Rue Morgue,0,0,0,1,0,0,0,0
1,1,True,372,Schotten Totten,0,0,0,1,0,0,0,0
1,1,True,373,Wrott & Swindlers,0,0,0,0,0,0,0,0
0,0,True,374,Colorado County,0,0,0,0,0,0,0,0
0,0,True,375,6 Billion,0,1,0,0,0,0,0,0
0,0,True,376,DruidenWalzer,0,1,0,0,0,1,0,0
1,1,True,378,Lancashire Railways,0,1,0,0,0,0,0,0
0,0,True,379,Express,0,0,0,1,0,0,0,0
0,0,True,380,Polarity,0,0,0,0,0,1,0,0
0,0,True,381,X Pasch,0,0,0,0,0,0,0,0
0,0,True,382,Heimlich & Co.,0,0,0,1,0,0,0,0
0,0,True,383,Turf Horse Racing,0,0,0,1,0,0,0,0
1,1,True,384,TurfMaster,1,0,0,1,0,0,0,0
0,0,True,386,Pirateer,0,0,0,1,0,0,0,0
0,0,True,387,Corruption,0,1,0,1,0,0,0,0
0,0,True,388,Finale,0,0,0,1,0,0,0,0
0,0,True,389,Die Mauer,0,0,0,0,0,0,0,0
0,0,True,391,Ocean,0,0,0,0,0,0,0,0
0,0,True,392,Brawl,1,0,0,1,0,0,0,0
1,0,False,393,Dinosaurs of the Lost World,0,0,0,1,0,0,0,0
1,1,True,394,Kahuna,0,0,0,0,0,1,0,0
0,0,True,396,Der dreizehnte Holzwurm,0,0,0,0,0,0,0,0
0,0,True,397,Diskwars,0,0,0,0,1,0,0,0
1,1,True,398,Wildlife Safari,0,0,0,1,0,0,0,0
0,0,True,399,Tom Clancy's Politika,0,1,0,0,0,0,0,0
0,0,True,400,Shanghai,0,0,0,0,0,0,0,0
0,0,True,401,Gold Connection,0,0,0,0,0,0,0,0
0,0,True,403,Elk Fest,0,0,0,1,0,0,0,0
0,0,True,404,Worm Up!,0,0,0,1,0,0,0,1
0,0,True,406,Meteo,0,0,0,0,0,0,0,0
0,0,True,408,Zoon,0,1,0,0,0,1,0,0
0,0,True,409,Dschungel,0,0,0,0,0,0,0,0
0,0,True,410,D'raf,0,0,0,0,0,0,0,0
0,1,False,412,Yukon Company,0,0,0,0,0,0,0,0
0,0,True,413,Die Erben von Hoax,0,0,0,0,0,0,0,0
0,0,True,414,Around the World in 80 Days,0,0,0,1,0,0,0,0
0,0,True,415,Espresso,0,0,0,0,0,0,0,0
0,0,True,416,A to Z,0,0,0,0,0,0,1,0
0,0,True,417,Edison & Co.,0,1,0,1,0,0,0,0
1,1,True,420,Rail Baron,0,1,0,0,0,0,0,0
1,1,True,421,1830: Railways & Robber Barons,0,1,0,0,0,0,0,0
1,1,True,422,1835,0,1,0,0,0,0,0,0
1,1,True,423,1856: Railroading in Upper Canada from 1856,0,1,0,0,0,0,0,0
1,1,True,424,1870: Railroading across the Trans Mississippi from 1870,0,1,0,0,0,0,0,0
0,0,True,425,Thunder's Edge,0,0,1,0,0,0,0,0
1,1,True,426,The Battle of the Bulge,0,0,1,0,0,0,0,0
0,0,True,427,Grass,1,0,0,0,0,0,1,0
0,0,True,428,Galopp Royal,0,0,0,0,0,0,0,0
0,0,True,429,Magalon,0,1,0,1,0,0,0,0
0,0,True,430,Asterix: Das Kartenspiel,0,0,0,0,0,0,0,0
0,0,True,431,Alhambra: The Card Game,0,0,0,1,0,0,0,0
1,1,True,432,6 nimmt!,0,0,0,1,0,0,0,0
1,1,True,433,Shark,0,1,0,0,0,0,0,0
0,0,True,434,Yucata',0,0,0,0,0,1,0,0
0,0,True,436,Canyon,0,0,0,1,0,0,0,0
0,0,True,437,Master Labyrinth,0,0,0,1,0,0,0,0
1,1,True,438,Scotland Yard,0,0,0,1,0,0,0,0
0,0,True,440,Zoff in Buffalo,0,0,0,0,0,0,0,0
0,0,True,441,Filthy Rich,0,1,0,1,0,0,0,0
1,1,True,442,Um Reifenbreite,0,1,0,1,0,0,0,0
1,1,True,443,Code 777,0,0,0,1,0,1,0,0
0,0,True,444,Escape from the Hidden Castle,0,0,0,1,0,0,0,1
0,0,True,445,Die Osterinsel,0,0,0,0,0,0,0,0
0,0,True,446,Avalanche,0,0,0,0,0,1,0,0
0,0,True,449,The Great Balloon Race,0,0,0,1,0,0,0,0
1,1,True,450,Octi,0,0,0,0,0,1,0,0
0,0,True,451,Beutelschneider,0,0,0,0,0,0,0,0
0,0,True,452,Mummy Rummy,0,0,0,0,0,0,0,0
0,1,False,454,Tante Tarantel,0,0,0,0,0,0,0,1
0,0,True,455,Am Fuß des Kilimandscharo,0,0,0,1,0,0,0,0
0,0,True,457,Jumbo Grand Prix,0,0,0,1,0,0,0,0
0,0,True,458,Sherlock Holmes: The Card Game,1,0,0,0,0,0,0,0
1,1,True,459,Ausgebremst,0,1,0,1,0,0,0,0
1,1,True,460,Railway Rivals,0,1,0,1,0,0,0,0
0,0,True,461,Freibeuter,0,1,0,1,0,0,0,0
0,0,True,462,Esels-Rennen,0,0,0,0,0,0,0,0
1,1,True,463,Magic: The Gathering,0,0,0,0,1,0,0,0
1,1,True,464,Billabong,0,0,0,1,0,1,0,0
0,1,False,465,Zankapfel,0,0,0,0,0,0,0,0
1,1,True,466,Inkognito,0,0,0,1,0,0,0,0
0,0,True,469,In Teufels Küche,0,0,0,0,0,0,0,1
0,0,True,470,Road to the White House,1,1,0,0,0,0,0,0
0,0,True,471,Totem,0,0,0,0,0,0,0,0
1,1,True,472,DungeonQuest,1,0,0,0,0,0,0,0
1,1,True,473,Olé!,0,0,0,0,0,0,0,0
0,0,True,474,Cold War,0,1,0,0,0,0,0,0
1,1,True,475,Taj Mahal,0,1,0,0,0,0,0,0
1,0,False,476,Mr. President,0,1,0,0,0,0,0,0
0,0,True,477,The Broadway Game,0,0,0,0,0,0,0,0
1,1,True,478,Citadels,0,1,0,1,0,0,0,0
0,0,True,479,Bambuti,0,0,0,0,0,0,0,0
1,1,True,481,Carolus Magnus,0,1,0,0,0,0,0,0
0,0,True,482,Sky Runner,0,0,0,0,0,0,0,0
1,1,True,483,Diplomacy,0,1,1,0,0,0,0,0
0,0,True,484,Stratego Legends,0,0,0,0,1,0,0,0
0,0,True,485,Galloping Pigs,0,0,0,1,0,0,0,0
0,0,True,486,Barnyard Buddies,0,0,0,0,0,0,0,1
0,0,True,487,Power,0,0,1,0,0,1,0,0
0,0,True,488,Stake Your Claim,0,0,0,0,0,0,0,0
0,0,True,489,Pacal,0,0,0,0,0,0,0,0
1,1,True,490,Warangel,0,0,1,0,0,0,0,0
1,1,True,491,Web of Power,0,1,0,1,0,0,0,0
1,1,True,492,Aladdin's Dragons,0,1,0,1,0,0,0,0
1,1,True,494,Ave Caesar,0,0,0,1,0,0,0,0
0,0,True,495,Time Pirates,0,0,0,0,0,0,0,0
0,0,True,496,Dilemma,0,0,0,0,0,0,0,0
0,0,True,497,Vampire,0,0,0,1,0,0,0,0
0,0,True,499,Arbos,0,0,0,1,0,0,1,0
0,0,True,500,MARK,0,0,0,0,0,0,0,0
